id	pid	title	authors	venue	source	year
50|doi_________::dfca728ac0f8afd45a2089c232eb71c8	10.1108/03074801211282920	Benefits of a conceptual shift from library‐specific record structures to RDF‐based data models,Linked data for libraries: benefits of a conceptual shift from library-specific record structures to RDF-based data models,Linked Data for libraries	Jane Chandler,Brett Stevens,Penny Ross,Getaneh Alemu	New Library World	Crossref	2012-11-16
50|doi_________::fd062def19fb1641fd47bf0758138c0f	10.1007/978-3-642-22913-8_6	Transductive Learning of Logical Structures from Document Images,Transductive Learning of Logical Structures from Document Images	Donato Malerba,Michelangelo Ceci,Corrado Loglisci	\N	Crossref,Learning Structure and Schemas from Documents ISBN: 9783642229121,Learning Structure and Schemas from Documents	2011-01-01
50|doi_________::00f97f7f64a11decb82249c58f0f6a76	10.1145/872757.872809	Stream processing of XPath queries with predicates,Stream processing of XPath queries with predicates	Ashish Kumar Gupta,Dan Suciu	Proceedings of the 2003 ACM SIGMOD international conference on Management of data	Crossref,SIGMOD Conference	2003-06-09
50|doi_________::35b24be7fb8275c4588d28aa02cd748e	10.1080/01615440.1995.9956362	Image Processing and the Study of Manuscript Textual Traditions,Image Processing and the Study of Manuscript Textual Traditions	Dino Buzzetti	Historical Methods: A Journal of Quantitative and Interdisciplinary History	Crossref	1995-06-01
50|doi_dedup___::fee929fdeab986ecb4ac662ce3a484e2	10.20368/1971-8829/798	The Challenge of Open Education	Pantò, Eleonora,Comas-Quinn, Anna	\N	The Open University (ORO - Open Research Online),Scopus - Elsevier,1971-8829,Je-LKS : Journal of e-Learning and Knowledge Society, Vol 9, Iss 1 (2013)	2013-01-15
50|doi_________::9da0d62c451d668dbd05960cff2c3c29	10.1109/tasl.2007.913750	Semantic Annotation and Retrieval of Music and Sound Effects,Semantic Annotation and Retrieval of Music and Sound Effects	Luke Barrington,David A. Torres,Gert R. G. Lanckriet,Douglas Turnbull	IEEE Transactions on Audio, Speech, and Language Processing	Crossref	2008-02-01
50|doi_________::08ec7edb6eb2036eb31bc50120e13b13	10.1007/b99948	6th International Conference, Nottingham, UK, September 7-10, 2004. Proceedings,UbiComp 2004: Ubiquitous Computing,UbiComp 2004: Ubiquitous Computing	Elizabeth D. Mynatt,Nigel Davies,Itiro Siio	\N	Crossref,Lecture Notes in Computer Science ISBN: 9783540229551,UbiComp 2004: Ubiquitous Computing	2004-01-01
50|doi_dedup___::6c8945b711f39c53d124f887dafd6e1f	10.1054/bjps.2000.3507,11513528	An evaluation of Polaroid photographic imaging for cutaneous-lesion referrals to an outpatient clinic : a pilot study,An evaluation of Polaroid photographic imaging for cutaneous-lesion referrals to an outpatient clinic: a pilot study	D. McGurty,J. H. Stevenson,Simran Jeet Singh	British Journal of Plastic Surgery	Crossref	2001-03-01
50|doi_dedup___::03f8e2234c8facd916c529895acfa740	10.1177/030089161109700416,21989442	National Cancer Information Service in Italy: An information points network as a new model for providing information for cancer patients	Truccolo, I.,Bufalino, R.,Maria Antonietta Annunziata,Caruso, A.,Costantini, A.,Cognetti, G.,Florita, A.,Pero, D.,Pugliese, P.,Tancredi, R.,Lorenzo, F.	Tumori Journal	Crossref,Scopus - Elsevier	2011-07-01
50|doi_________::e0869d2eebbd13bf7eac524588ca64a2	10.1353/lib.0.0036	Shedding Light on the Dark Data in the Long Tail of Science,Shedding Light on the Dark Data in the Long Tail of Science	P. Bryan Heidorn	Library Trends	Crossref	2008-01-01
50|doi_________::5d7663a42d8d91951254c079b146d566	10.1080/01930826.2018.1436778	Why So Many Repositories? Examining the Limitations and Possibilities of the Institutional Repositories Landscape,Why So Many Repositories? Examining the Limitations and Possibilities of the Institutional Repositories Landscape	Kenning Arlitsch,Carl Grant	Journal of Library Administration	Crossref	2018-03-27
50|doi_________::f06bff7f34acf4d7a4a09bcd00428fc9	10.1002/9781118219546.ch2	Multimedia Information Extraction: History and State of the Art,Multimedia Information Extraction: History and State of the Art	Mark T. Maybury	Multimedia Information Extraction	Crossref,Multimedia Information Extraction: Advances in Video, Audio, and Imagery Analysis for Search, Data Mining, Surveillance, and Authoring	2012-08-24
50|doi_dedup___::a98257caac831849508fe541213dba60	10.2218/ijdc.v6i2.205	Citation and Peer Review of Data: Moving Towards Formal Data Publication,Citation and Peer Review of Data: Moving Towards Formal Data Publication	Brian Matthews,Bryan Lawrence,Catherine Jones,Sarah Callaghan,Sam Pepler	International Journal of Digital Curation	Crossref,1746-8256,International Journal of Digital Curation, Vol 6, Iss 2, Pp 4-37 (2011),International Journal of Digital Curation; Vol 6, No 2 (2011); 4-37	2011-07-26
50|doi_dedup___::f253eac631444dde3df17694f4fd5309	10.1016/j.ipm.2013.05.001	NESTOR: A formal model for digital archives,NESTOR: A formal model for digital archives	Gianmaria Silvello,Nicola Ferro	Information Processing &amp; Management	Crossref,Information Processing & Management	2013-11-01
50|dedup_wf_001::4dbff369d0fa6ed122dd41403db198a2		The DELOS Digital Library Reference Model - Foundations for Digital Libraries	Candela L.,Castelli D.,Ferro N.,Koutrika G.,Meghini C.,Ioannidis Y.,Pagano P.,Ross S.,Soergel D.,Agosti M.,Dobreva M.,Katifori V.,Schuldt H.	\N	Pisa: DELOS: a Network of Excellence on Digital Libraries, 2007,info:cnr-pdr/source/autori:Candela L.; Castelli D.; Ferro N.; Koutrika G.; Meghini C.; Ioannidis Y.; Pagano P.; Ross S.; Soergel D.; Agosti M.; Dobreva M.; Katifori V.; Schuldt H./titolo:The DELOS Digital Library Reference Model - Foundations for Digital Libraries/editore: /anno:2007	2007-01-01
50|doi_dedup___::43352d060ec9286c40ea807031fe6f33	10.1007/978-3-642-22613-7	Modeling, learning, and processing of text-technological data structures,Modeling, Learning, and Processing of Text Technological Data Structures	Kai-Uwe Kühnberger,Andreas Witt,Henning Lobin,Angelika Storrer,Harald Lüngen,Alexander Mehler	\N	Crossref,Studies in Computational Intelligence ISBN: 9783642226120,Modeling, Learning, and Processing of Text Technological Data Structures	2012-01-01
50|doi_dedup___::737aca7a9158a71b2744caa7395bbd8d	10.1045/may2012-simons	Implementing DOIs for Research Data,Implementing DOIs for Research Data	Natasha Simons	D-Lib Magazine	Crossref	2012-05-01
