id	pid	title	authors	venue	source	year
50|doi_dedup___::dba616d3211017c80877471af84d2ff1	10.1504/ijmso.2014.059125	A linked open data approach for geolinguistics applications,A linked open data approach for geolinguistics applications	Giorgio Maria Di Nunzio,Emanuele Di Buccio,Gianmaria Silvello	International Journal of Metadata, Semantics and Ontologies	Crossref	2014-01-01
50|doi_dedup___::8a53cd6b8ebfc5290238345e9c34d0f4	10.1109/icpr56361.2022.9956189,10.48550/arxiv.2208.07682,2208.07682,11380/1276658	The LAM Dataset: A Novel Benchmark for Line-Level Handwritten Text Recognition	Silvia Cascianelli,Pippi, Vittorio,Martin, Maarand,Marcella Cornia,Lorenzo Baraldi,Christopher, Kermorvant,Rita Cucchiara	2022 26th International Conference on Pattern Recognition (ICPR)	Crossref,Università degli studi di Modena e Reggio Emilia - IRIS	2022-08-21
50|doi_dedup___::045a8039ab61d25a2f92274a8adb9472	10.1007/978-3-030-39905-4_15	RepOSGate: Open Science Gateways for Institutional Repositories,RepOSGate: Open Science Gateways for Institutional Repositories	Silvia Giannini,Michele Artini,Paolo Manghi,Leonardo Candela	\N	Crossref,Digital Libraries: The Era of Big Data and Data Science ISBN: 9783030399047,IRCDL,Communications in Computer and Information Science,issn: 1865-0929,eissn: 1865-0937,isbn: 978-3-030-39904-7,eisbn: 978-3-030-39905-4,Communications in Computer and Information Science - Digital Libraries: The Era of Big Data and Data Science,ICRDL 2020 - 16th Italian Research Conference on Digital Libraries, pp. 151–162, Bari, Italy, 30-31 Juanuary 2020,info:cnr-pdr/source/autori:Artini M.; Candela L.; Manghi P.; Giannini S./congresso_nome:ICRDL 2020 - 16th Italian Research Conference on Digital Libraries/congresso_luogo:Bari, Italy/congresso_data:30-31 Juanuary 2020/anno:2020/pagina_da:151/pagina_a:162/intervallo_pagine:151–162,Digital Libraries: The Era of Big Data and Data Science - 16th Italian Research Conference on Digital Libraries, IRCDL 2020, Bari, Italy, January 30–31, 2020, Proceedings	2020-01-01
50|doi_dedup___::61c30fba82de097bc5e999a8f8904ed6	10.1007/s10032-022-00425-4,36687334,PMC9838515	Adaptive dewarping of severely warped camera-captured document images based on document map generation	C. H. Nachappa,N. Shobha Rani,Peeta Basa Pati,M. Gokulnath	International Journal on Document Analysis and Recognition (IJDAR)	Crossref	2023-01-09
50|doi_________::5f28cdb9fe5131c3c40b6c02b4c8b032	10.20913/1815-3186-2018-4-87-94	Мировые тенденции развития библиотек: оптимизм vs пессимизм (по материалам зарубежной литературы) Часть 1,Global trends of libraries development: optimism vs pessimism (foreign literature review) Part 1		Bibliosphere	Crossref	2018-12-30
50|doi_________::e4fef07b42bf6d3c0563158c11801a12	10.1007/978-3-319-08732-0_2	Authoring Composite Documents and Their Descriptions,Authoring Composite Documents and Their Descriptions	Tsuyoshi Sugibuchi,Nicolas Spyratos	\N	Crossref,Communications in Computer and Information Science ISBN: 9783319087313,ISIP	2014-01-01
50|doi_________::e808f20ed76ff7dc48efdcd83cae7eb0	10.1007/978-3-319-08407-7_14	A relational unsupervised approach to author identification,A Relational Unsupervised Approach to Author Identification	Stefano Ferilli,Fulvio Rotella,Fabio Leuzzi	\N	Crossref,New Frontiers in Mining Complex Patterns ISBN: 9783319084060,NFMCP	2014-01-01
50|doi_________::e40472f2d27c3cfb4920dde74e1d1096	10.1007/s12553-023-00748-0	A computer vision-based IoT data ingestion architecture supporting data prioritization	Athanasios Kiourtis,Argyro Mavrogiorgou,Dimosthenis Kyriazis	Health and Technology	Crossref	2023-04-21
50|doi_dedup___::f253eac631444dde3df17694f4fd5309	10.1016/j.ipm.2013.05.001	NESTOR: A formal model for digital archives,NESTOR: A formal model for digital archives	Gianmaria Silvello,Nicola Ferro	Information Processing &amp; Management	Crossref,Information Processing & Management	2013-11-01
50|doi_dedup___::f5364051c6f9574ca39290a7a2e284af	10.5194/isprs-archives-xlii-2-w11-427-2019	AN OPTIMISED WORKFLOW FOR THE INTERACTIVE EXPERIENCE WITH CULTURAL HERITAGE THROUGH REALITY-BASED 3D MODELS: CASES STUDY IN ARCHAEOLOGICAL AND URBAN COMPLEXES,AN OPTIMISED WORKFLOW FOR THE INTERACTIVE EXPERIENCE WITH CULTURAL HERITAGE THROUGH REALITY-BASED 3D MODELS: CASES STUDY IN ARCHAEOLOGICAL AND URBAN COMPLEXES	Luca Cipriani,Gianna Bertacchi,Silvia Bertacchi	The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences	Crossref,The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences, Vol XLII-2-W11, Pp 427-434 (2019),eISSN: 2194-9034	2019-05-04
