key,doi,url,ee,year,authors,title,venue,pages,length,type,access
conf/ircdl/AmbrosinoAPS23,,https://dblp.org/rec/conf/ircdl/AmbrosinoAPS23,https://ceur-ws.org/Vol-3365/short16.pdf,2023,"['Maria Anna Ambrosino', 'Vanja Annunziata', 'Maria Angela Pellegrino', 'Vittorio Scarano']",The Hetor project: a joint effort to co-create Cultural Heritage Open Data in the Campania Region.,IRCDL,216-224,8,Conference and Workshop Papers,open
conf/ircdl/BagchiD23,,https://dblp.org/rec/conf/ircdl/BagchiD23,https://ceur-ws.org/Vol-3365/short1.pdf,2023,"['Mayukh Bagchi', 'Subhashis Das']",Disentangling Domain Ontologies.,IRCDL,17-28,11,Conference and Workshop Papers,open
conf/ircdl/BaglioniMPBM23,,https://dblp.org/rec/conf/ircdl/BaglioniMPBM23,https://ceur-ws.org/Vol-3365/paper2.pdf,2023,"['Miriam Baglioni', 'Andrea Mannocci', 'Gina Pavone', 'Michele De Bonis', 'Paolo Manghi']",(Semi)automated disambiguation of scholarly repositories.,IRCDL,47-59,12,Conference and Workshop Papers,open
conf/ircdl/BarbutiBRCP23,,https://dblp.org/rec/conf/ircdl/BarbutiBRCP23,https://ceur-ws.org/Vol-3365/short17.pdf,2023,"['Nicola Barbuti', 'Mauro De Bari', 'Stefania Riso', 'Tommaso Caldarola', 'Francesco Piero Paolicelli']",The Open Memory Apulia Project. How Open Data turns in Digital Heritage (DH).,IRCDL,225-232,7,Conference and Workshop Papers,open
conf/ircdl/BardiBM23,,https://dblp.org/rec/conf/ircdl/BardiBM23,https://ceur-ws.org/Vol-3365/short12.pdf,2023,"['Alessia Bardi', 'Margo Bargheer', 'Paolo Manghi']",A Discovery Hub for Diamond Open Access publishing.,IRCDL,162-166,4,Conference and Workshop Papers,open
conf/ircdl/BernasconiCM23,,https://dblp.org/rec/conf/ircdl/BernasconiCM23,https://ceur-ws.org/Vol-3365/paper1.pdf,2023,"['Eleonora Bernasconi', 'Miguel Ceriani', 'Massimo Mecella']",Linked Data interfaces: a survey.,IRCDL,1-16,15,Conference and Workshop Papers,open
conf/ircdl/CastellanoSV23,,https://dblp.org/rec/conf/ircdl/CastellanoSV23,https://ceur-ws.org/Vol-3365/short13.pdf,2023,"['Giovanna Castellano', 'Raffaele Scaringi', 'Gennaro Vessio']",Automatic analysis of artistic heritage through Artificial Intelligence.,IRCDL,192-196,4,Conference and Workshop Papers,open
conf/ircdl/CastellucciC23,,https://dblp.org/rec/conf/ircdl/CastellucciC23,https://ceur-ws.org/Vol-3365/short15.pdf,2023,"['Paola Castellucci', 'Gianfranco Crupi']","Put the hands on! For a movable, interactive, pop-up, bibliographic database.",IRCDL,209-215,6,Conference and Workshop Papers,open
conf/ircdl/DeglInnocentiCC23,,https://dblp.org/rec/conf/ircdl/DeglInnocentiCC23,https://ceur-ws.org/Vol-3365/paper5.pdf,2023,"['Emiliano Degl&apos;Innocenti', 'Leonardo Canova', 'Francesco Coradeschi', 'Carmen Di Meo', 'Maurizio Sanesi', 'Alessia Spadi', 'Federica Spinelli']",The RESTORE project: a final review.,IRCDL,167-179,12,Conference and Workshop Papers,open
conf/ircdl/FraisseBB23,,https://dblp.org/rec/conf/ircdl/FraisseBB23,https://ceur-ws.org/Vol-3365/short4.pdf,2023,"['Amel Fraisse', 'Ben W. Brumfield', 'Sara Carlstead Brumfield']","Crowdsourcing, computing and deep mapping cultural heritage and transnational bibliographic records.",IRCDL,60-67,7,Conference and Workshop Papers,open
conf/ircdl/GemelliVM23,,https://dblp.org/rec/conf/ircdl/GemelliVM23,https://ceur-ws.org/Vol-3365/short14.pdf,2023,"['Andrea Gemelli', 'Emanuele Vivoli', 'Simone Marinai']",CTE: A Dataset for Contextualized Table Extraction.,IRCDL,197-208,11,Conference and Workshop Papers,open
conf/ircdl/LocaputoPC023,,https://dblp.org/rec/conf/ircdl/LocaputoPC023,https://ceur-ws.org/Vol-3365/short5.pdf,2023,"['Alessandro Locaputo', 'Beatrice Portelli', 'Emanuela Colombi', 'Giuseppe Serra 0001']",Filling the Lacunae in ancient Latin inscriptions.,IRCDL,68-76,8,Conference and Workshop Papers,open
conf/ircdl/MartogliaBRVSV23,,https://dblp.org/rec/conf/ircdl/MartogliaBRVSV23,https://ceur-ws.org/Vol-3365/short11.pdf,2023,"['Riccardo Martoglia', 'Sonia Bergamaschi', 'Federico Ruozzi', 'Matteo Vanzini', 'Luca Sala', 'Riccardo Amerigo Vigliermo']","Knowledge extraction, management and long-term preservation of non-Latin cultural heritages - Digital Maktaba project presentation.",IRCDL,153-161,8,Conference and Workshop Papers,open
conf/ircdl/MatviichukHP23,,https://dblp.org/rec/conf/ircdl/MatviichukHP23,https://ceur-ws.org/Vol-3365/short9.pdf,2023,"['Liudmila A. Matviichuk', 'Natalia M. Hnedko', 'Natalia S. Pavlova']",Practical Aspects of Cloud Technologies Applicable to The Students&apos; Independent Work Organization.,IRCDL,119-129,10,Conference and Workshop Papers,open
conf/ircdl/McGillivrayCBPF23,,https://dblp.org/rec/conf/ircdl/McGillivrayCBPF23,https://ceur-ws.org/Vol-3365/short7.pdf,2023,"['Barbara McGillivray', 'Pierluigi Cassotti', 'Pierpaolo Basile', 'Davide Di Pierro', 'Stefano Ferilli']",Using Graph Databases for Historical Language Data: Challenges and Opportunities.,IRCDL,88-96,8,Conference and Workshop Papers,open
conf/ircdl/MuzzupappaN23,,https://dblp.org/rec/conf/ircdl/MuzzupappaN23,https://ceur-ws.org/Vol-3365/short6.pdf,2023,"['Silvia Muzzupappa', 'Giorgio Maria Di Nunzio']",The Challenges of Digitizing Spanish Grammars for Italian Speakers Across Centuries.,IRCDL,77-87,10,Conference and Workshop Papers,open
conf/ircdl/Nunzio0GI0S23,,https://dblp.org/rec/conf/ircdl/Nunzio0GI0S23,https://ceur-ws.org/Vol-3365/short10.pdf,2023,"['Giorgio Maria Di Nunzio', 'Nicola Ferro 0001', 'Fabio Giachelle', 'Ornella Irrera', 'Stefano Marchesin 0001', 'Gianmaria Silvello']",SKET: an Unsupervised Knowledge Extraction Tool to Empower Digital Pathology Applications.,IRCDL,144-152,8,Conference and Workshop Papers,open
conf/ircdl/PetrocelliF23,,https://dblp.org/rec/conf/ircdl/PetrocelliF23,https://ceur-ws.org/Vol-3365/short2.pdf,2023,"['Carla Petrocelli', 'Stefano Ferilli']",Digital Libraries as Technological Environments. Collaboration of Work and Future Perspectives.,IRCDL,29-37,8,Conference and Workshop Papers,open
conf/ircdl/Ruskov23,,https://dblp.org/rec/conf/ircdl/Ruskov23,https://ceur-ws.org/Vol-3365/paper6.pdf,2023,['Martin Ruskov'],Grimm in Wonderland: Prompt Engineering with Midjourney to Illustrate Fairytales.,IRCDL,180-191,11,Conference and Workshop Papers,open
conf/ircdl/SicilianiSB23,,https://dblp.org/rec/conf/ircdl/SicilianiSB23,https://ceur-ws.org/Vol-3365/paper3.pdf,2023,"['Lucia Siciliani', 'Caterina Scattarelli', 'Pierpaolo Basile']",A Video Game for Stimulating Children&apos;s Creativity through Writing Stories.,IRCDL,107-118,11,Conference and Workshop Papers,open
conf/ircdl/SimeriT23,,https://dblp.org/rec/conf/ircdl/SimeriT23,https://ceur-ws.org/Vol-3365/paper4.pdf,2023,"['Andrea Simeri', 'Andrea Tagarelli']",Exploring domain and task adaptation of LamBERTa models for article retrieval on the Italian Civil Code.,IRCDL,130-143,13,Conference and Workshop Papers,open
conf/ircdl/StranisciPD23,,https://dblp.org/rec/conf/ircdl/StranisciPD23,https://ceur-ws.org/Vol-3365/short3.pdf,2023,"['Marco Antonio Stranisci', 'Viviana Patti', 'Rossana Damiano']",User-Generated World Literatures: a Comparison between Two Social Networks of Readers.,IRCDL,38-46,8,Conference and Workshop Papers,open
