"doi","title","authors","year","count(1)"
"10.1007/978-3-319-73165-0_18","Bidirectional LSTM Recurrent Neural Network for Keyphrase Extraction,Bidirectional LSTM Recurrent Neural Network for Keyphrase Extraction","Basaldella, Marco,Antolli, Elisa,Serra, Giuseppe,Tasso, Carlo","2017-12-21",40
"10.1007/978-3-642-27302-5_2","A Keyphrase-Based Paper Recommender System,A Keyphrase-Based Paper Recommender System","Ferrara, Felice,Pudota, Nirmala Mary,Tasso, Carlo","2011-01-01",37
"10.1007/978-3-319-68130-6_4","Indexing of Historical Document Images: Ad Hoc Dewarping Technique for Handwritten Text,Indexing of Historical Document Images: Ad Hoc Dewarping Technique for Handwritten Text","Bolelli, Federico","2017-01-01",19
"10.1007/978-3-030-39905-4_11","Towards a Tool for Visual Link Retrieval and Knowledge Discovery in Painting Datasets,Towards a Tool for Visual Link Retrieval and Knowledge Discovery in Painting Datasets","Giovanna Castellano,Gennaro Vessio","2020-01-01",17
"10.1007/978-3-642-15850-6_14","Semantic Relatedness Approach for Named Entity Disambiguation,Semantic Relatedness Approach for Named Entity Disambiguation","Ziqi Zhang,José Iria,Anna Lisa Gentile,Lei Xia","2010-01-01",17
"10.1007/978-3-319-73165-0_15","XDOCS: An Application to Index Historical Documents,XDOCS: An Application to Index Historical Documents","BOLELLI, FEDERICO,BORGHI, GUIDO,GRANA, Costantino","2017-12-21",16
"10.1007/978-3-319-68130-6_15","The Use of Hashtags in the Promotion of Art Exhibitions,The Use of Hashtags in the Promotion of Art Exhibitions","Furini, Marco,Mandreoli, Federica,Martoglia, Riccardo,Montangero, Manuela","2017-01-01",12
"10.1007/978-3-030-11226-4_11","OpenAIRE’s DOIBoost - Boosting Crossref for Research","La Bruzzo, Sandro,Manghi, Paolo,Mannocci, Andrea","2019-01-01",12
"10.1007/978-3-642-35834-0_23","Reflecting on the Europeana Data Model,Reflecting on the Europeana Data Model","PERONI, SILVIO,TOMASI, FRANCESCA,VITALI, FABIO","2013-01-01",11
"10.1007/978-3-642-15850-6_8","A New Domain Independent Keyphrase Extraction System,A New Domain Independent Keyphrase Extraction System","Pudota, N,Dattolo, Antonina,Baruzzo, A,Tasso, Carlo","2010-01-01",11
